PATAKI, ALLISON - THE ACCIDENTAL EMPRESS
PATERSON, JAMES & HOWARD ROUGHAN - DON'T BLINK
PATTERSON, JAJMES - DEADLY CROSS
PATTERSON, JAME- MARY, MARY
PATTERSON, JAMES - TH E LAKE HOUSE
PATTERSON, JAMES & JAMES O. BORN - THE RIVER MURDERS
PATTERSON, JAMES - 7th HEAVEN
PATTERSON, JAMES - BIG BAD WOLF
PATTERSON, JAMES - CROSS JUSTICE
PATTERSON, JAMES - CROSS MY HEART
PATTERSON, JAMES - CROSS THE LINE
PATTERSON, JAMES - FOUR BLIND MICE
PATTERSON, JAMES - HIDE & SEEK
PATTERSON, JAMES - KILL ALEX CROSS
PATTERSON, JAMES - MAXIMUM RIDE - SAVING THE WORLD AND OTHER EXTREME SPORTS
PATTERSON, JAMES - MAXIMUM RIDE SCHOOL'S OUT - FOREVER
PATTERSON, JAMES - MAXIMUM RIDE THE ANGEL EXPERIMENT
PATTERSON, JAMES - MERRY CHRISTMAS, ALEX CROSS
PATTERSON, JAMES - MURDER IN PARADISE
PATTERSON, JAMES - ROSES ARE RED
PATTERSON, JAMES - SAM'S LETTERS TO JENNIFER
PATTERSON, JAMES - THE 6TH TARGET
PATTERSON, JAMES - THE LAKE HOUSE
PATTERSON, JAMES - THE PEOPLE VS ALEX CROSS
PATTERSON, JAMES - THE PEOPLE VS ALEX CROSS
PATTERSON, JAMES - VIOLETS ARE BLUE
PATTERSON, JAMES - WHEN THE WIND BLOWS
PATTERSON, JAMES & JAMES O.. BORN - HAUNTED
PATTERSON, JAMES & ANDREW BOURELLE - TEXAS RANGER
PATTERSON, JAMES & ANDREW GROSS - LIFEGUARD
PATTERSON, JAMES & ASHWIN SANGHI - PRIVATE INDIA
PATTERSON, JAMES & BILL CLINTON - THE PRESIDENT IS MISSING
PATTERSON, JAMES & BILL CLINTON - THE PRESIDENT'S DAUGHTER
PATTERSON, JAMES & BRENDON DUBOIS - THE SUMMER HOUSE
PATTERSON, JAMES & CANDICE FOX - HUSH
PATTERSON, JAMES & DAVID ELLIS - BLACK BOOK
PATTERSON, JAMES & DAVID ELLIS - INVISIBLE
PATTERSON, JAMES & GABRIELLE CHARBONNET - SUNDAY AT TIFFANY'S
PATTERSON, JAMES & HOWARD ROUGHAN - HONEYMOON
PATTERSON, JAMES & HOWARD ROUGHAN - KILLER INSTINCT
PATTERSON, JAMES & HOWARD ROUGHAN - SECOND HONEYMOON
PATTERSON, JAMES & J.D. BARKER - DEATH OF THE BLACK WODOW
PATTERSON, JAMES & JAMES O BORN - LOST
PATTERSON, JAMES & JAMES O. BORN - THE RUSSIAN
PATTERSON, JAMES & JAMES O'BORN - AMBUSH
PATTERSON, JAMES & KATHY FOX - MISSING
