CLANCY, TOM BY MIKE MADEN - ENEMY CONTACT
CLANCY, TOM BY MIKE MADEN - FIRING POINT
CLANCY, TOM WITH MARK GREANEY - THREAT VECTOR
CLARK, CAROL HIGGINS - ICED
CLARK, CAROL HIGGINS - ZAPPED
CLARK, MARY HIGGINS - I'LL WALK ALONE
CLARK, MARY HIGGINS - I'VE GOT YOU UNDER MY SKIN
CLARK, MARY HIGGINS - MOONLIGHT BECOMES YOU
CLARK, MARY HIGGINS - NIGHT TIME IS MY TIME
CLARK, MARY HIGGINS - PRETEND YOU DON'T SEE HER
CLARK, MARY HIGGINS - THE LOTTERY WINNER
CLARK, MARY HIGGINS - WE'LL MEET AGAIN
CLARK, MARY HIGGINS - WHERE ARE YOU NOW?
CLARK, MARY HIGGINS - YOU DON'T OWN ME
CLARK, MARY HIGGINS -DEATH WEARS A BEAUTY MASK AND OTHER STORIES
CLEETON, CHANEL - NEXT YEAR IN HAVANA
CLEETON, CHANEL -ON BROKEN WINGS
COBB, MAY - THE HUNTING WIVES
COBEN, HARLAN - THE BOY FROM THE WOODS
COBLE, COLLEEN - SILENT NIGHT, HOLY NIGHT
COE, JONATHAN - THE TERRIBLE PRIVACY OF MAXWELL SIM
COES, ANDREW - INDEPENDENCE DAY
COHEN, TAMAR - THE MISTRESS'S REVENGE
COHEN, TISH - THE SECOND ANGEL
COHEN, TISH - THE SUMMER WE LOST HER
COLE, KRESLEY - THE PROFESSIONAL
COLE, MARTINA - FACES
COLE, MARTINA - THE LIFE
COLE, MEGAN - FORTUNE
COLE, MEGAN - RICHE$
COLE, SCARLETT - LENNON REBORN
COLE, SCARLETT - NIKAN REBUILT
COLLINS, JACKIE - DEADLY EMBRACE
COLLINS, JOAN - ST. TROPEZ LONELY HEARTS CLUB
CONNELLY, M ICHAEL - A DARKNESS MORE THAN SIGHT
CONNELLY, MICHAEL - BLOOD WORK
CONNELLY, MICHAEL - CHASING THE DIME
CONNELLY, MICHAEL - CITY OF BONES
CONNELLY, MICHAEL - DARK SCARED NIGHT
CONNELLY, MICHAEL - FAIR WARNING
CONNELLY, MICHAEL - THE BRASS VERDICT
CONNELLY, MICHAEL - THE BURNING ROOM
CONNELLY, MICHAEL - THE CROSSING
CONNELLY, MICHAEL - THE DARK HOURS
CONNELLY, MICHAEL - THE GODS OF GUILT
CONNELLY, MICHAEL - THE LATE SHOW
CONNELLY, MICHAEL - THE LAW OF INNOCENCE
CONNELLY, MICHAEL - THE NARROWS
CONNELLY, MICHAEL - THE WRONG SIDE OF GOODBYE
CONNELLY, MICHAEL - VOID MOON
CONNELLY, MICHAEL-THE HARRY BOSCH NOVELS THE LAST COYOTE,TRUNK MUSIC,ANGELS FIGHT
CONNOLLLY, JOHN - THE UNQUIET
CONNOLLY, JOHN - THE BURNING SOUL
COOK, ROBIN - FATAL CURE
COOK, ROBIN - HOST
COOKSON, CATHERINE - THE GIRL FROM LEAM LANE
COONTS, STEPHAN - DEEP BLACK
COOPER, HELEN - THE DOWNSTAIRS NEIGHBOR
CORDOVA, ZORAIDA - THE INHERITANCE OF ORQUIDEA DIVINA
CORNICK, NICOLA HOUSE OF SHADOW
CORNWALL, LECIA - THE WOMAN AT THE FRONT
CORNWELL, PATRICIA - DEPRAVED HEART
CORNWELL, PATRICIA - DUST
CORNWELL, PATRICIA - FLESH AND BLOOD
CORNWELL, PATRICIA - PORT MORTUARY
CORNWELL, PATRICIA - SCARPETTA
COTERILL, COLIN - GRANDAD, THERE'S A HEAD ON THE BEACH
COULTER CATHERINE - THE MAZE
COULTER, CATHERINE -ROSEHAVEN
COULTER, CATHERINE - BORN TO BE WILD
COULTER, CATHERINE - BLOW OUT
COULTER, CATHERINE - TAILSPIN
COULTER, CATHERINE - THE OFFER
COULTER, CATHERINE - BACK FIRE
COULTER, CATHERINE - BEYOND EDEN
COULTER, CATHERINE - BLIND SIDE
COULTER, CATHERINE - DEADLOCK
COULTER, CATHERINE - DOUBLE TAKE
COULTER, CATHERINE - ELEVENTH HOUR
COULTER, CATHERINE - HEMLOCK BAY
COULTER, CATHERINE - KNOCK OUT
COULTER, CATHERINE - LYONS GATE
COULTER, CATHERINE - NEMESIS
COULTER, CATHERINE - PARADOX
COULTER, CATHERINE - POINT BLANK
COULTER, CATHERINE - RECKONING
COULTER, CATHERINE - SPLIT SECOND
COULTER, CATHERINE - TAILSPIN
COULTER, CATHERINE - THE END GAME
COULTER, CATHERINE - THE PRINCE OF RAVENSCAR
COULTER, CATHERINE - THE SCOTTISH BRIDE
COULTER, CATHERINE - THE SHERBROOKE TWINS
COULTER, CATHERINE - THE VALCOURT HEIRESS
COULTER, CATHERINE - THE WNDHAM LEGACY
COULTER, CATHERINE & J.T. ELLISON - THE DEVIL'S TRAINGLE
COULTER, CATHERINE & J.T. ELLISON - THE LAST SECOND
COULTER, CATHERINE & J.T. ELLISON - THE SIXTH DAY
COURT, DILLY - THE CHRISTMAS WEDDING
COURT, DILLY - THE CONSTANT HEART
COURT, DILLY - NETTIE'S SECRET
COURT, DILLY - THE CHRISTMAS ROSE
COURT, DILLY - THE RIVER MAID
COURT, DILLY - THE SUMMER MAIDEN
COURT, DILLY - THE SWAN MAID
